Sqr Ft,Longitude,Latitude,Lot Size,Beds,Bath,Year Built,Days On Trulia,Zipcode,Days on Market,City_atlanta,City_aurora,City_baltimore,City_denver,City_fort wayne,City_jacksonville,City_los angeles,City_orlando,City_tampa,City_washington,State_ca,State_co,State_dc,State_fl,State_ga,State_in,State_md,day_of_week_listed_Friday,day_of_week_listed_Monday,day_of_week_listed_Saturday,day_of_week_listed_Sunday,day_of_week_listed_Thursday,day_of_week_listed_Tuesday,day_of_week_listed_Wednesday
1930,-82.51528,28.088133,9315.0,4.0,2.0,1983.0,31.0,33624.0,69,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2856,-81.14485,28.524483,5175.0,4.0,3.0,2004.0,35.0,32828.0,74,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
1939,-82.51911,28.064789,9120.0,3.0,2.0,1981.0,2.0,33624.0,41,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2434,-84.505684,33.69926,14810.4,4.0,3.0,1993.0,98.0,30331.0,138,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1110,-82.43981,28.005362,7000.0,3.0,2.0,1951.0,115.0,33610.0,154,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3500,-81.6084,30.460258,13503.6,4.0,2.5,2005.0,4.0,32218.0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
1632,-85.22497,41.064484,118483.2,3.0,2.0,1975.0,2.0,46804.0,39,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
2934,-81.156075,28.55167,5469.0,4.0,4.0,2013.0,180.0,32828.0,220,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
1848,-76.97696,38.93989,4258.0,4.0,3.0,1936.0,15.0,20018.0,55,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2716,-81.75962,30.427773,124581.6,3.0,3.0,1968.0,2.0,32219.0,37,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
